,companyName,ticker,allocation,shares,start_price,investment
0,MicroSectors U.S. Big Oil Index 3X Leveraged ETNs,NRGU,98.84,42.0,472.81,19858.02
1,SPDR S&P Metals and Mining ETF,XME,1.16,4.0,58.43,233.72
