,companyName,ticker,allocation,shares,start_price,investment
3,MicroSectors U.S. Big Oil Index 3X Leveraged ETNs,NRGU,25.0,11.0,472.81,5200.91
0,Invesco Dynamic Oil & Gas Services ETF,PXJ,25.0,899.0,5.56,4998.44
2,"United States Gasoline Fund, LP",UGA,25.0,85.0,59.11,5024.35
1,SPDR S&P Metals and Mining ETF,XME,25.0,86.0,58.43,5024.98
