,companyName,ticker,allocation,shares,start_price,investment
0,Invesco Dynamic Oil & Gas Services ETF,PXJ,46.0,1655.0,5.56,9201.8
1,SPDR S&P Metals and Mining ETF,XME,38.0,130.0,58.43,7595.9
2,"United States Gasoline Fund, LP",UGA,10.0,34.0,59.11,2009.74
3,MicroSectors U.S. Big Oil Index 3X Leveraged ETNs,NRGU,6.0,3.0,472.81,1418.43
