,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$19,826.75","$19,287.51","$19,287.4","$19,287.4",-2.72%,-2.72%,-2.72%
1,SPY Index,"$19,826.75","$19,718.4","$20,078.88","$19,312.8",-0.55%,1.27%,-2.59%
