,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$20,025.11","$19,017.42","$19,017.15","$19,017.15",-5.03%,-5.03%,-5.03%
1,SPY Index,"$20,025.11","$20,129.2","$20,497.19","$19,715.15",0.52%,2.36%,-1.55%
