,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$19,936.14","$18,894.58","$18,894.34","$18,894.34",-5.22%,-5.23%,-5.23%
1,SPY Index,"$19,936.14","$20,129.2","$20,497.19","$19,715.15",0.97%,2.81%,-1.11%
