,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$20,041.56","$19,160.81","$19,160.69","$19,160.69",-4.39%,-4.4%,-4.4%
1,SPY Index,"$20,041.56","$20,129.2","$20,497.19","$19,715.15",0.44%,2.27%,-1.63%
