,companyName,ticker,allocation,shares,start_price,investment
0,Invesco DB Commodity Index Tracking Fund,DBC,45.0,366.0,24.6,9003.6
1,First Trust Materials AlphaDEX Fund,FXZ,45.0,125.0,72.04,9005.0
2,Global X MLP ETF,MLPA,7.0,32.0,43.43,1389.76
3,Invesco Dynamic Oil & Gas Services ETF,PXJ,4.0,144.0,5.56,800.64
