,PNQI
symbol,PNQI
price,134.03
beta,0
volAvg,26201
mktCap,0
lastDiv,0
range,105.61-195.24
changes,2.3129
companyName,Invesco NASDAQ Internet ETF
currency,USD
cik,
isin,US46137V5306
cusip,46137V530
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is designed to track the performance of companies engaged in Internet-related businesses that are listed on the New York Stock Exchange (""NYSE""), NYSE American, Cboe Exchange (""Cboe"") or The Nasdaq Stock Market (""Nasdaq""). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PNQI.png
ipoDate,2008-06-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
