,UCO
symbol,UCO
price,29.5
beta,0
volAvg,2328388
mktCap,0
lastDiv,0
range,24.26-55.69
changes,0.99
companyName,ProShares Ultra Bloomberg Crude Oil
currency,USD
cik,0001415311
isin,
cusip,74347Y888
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts, and option contracts) based on WTI sweet, light crude oil. It will not invest directly in oil."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UCO.png
ipoDate,2008-11-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
