,MEE.TO
symbol,MEE.TO
price,23.76
beta,0
volAvg,3350
mktCap,0
lastDiv,0.47800000000000004
range,21.52-26.47
changes,-0.06
companyName,Mackenzie Maximum Diversification Emerging Markets Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MEE.TO.png
ipoDate,2017-01-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
