,FCG
symbol,FCG
price,25.04
beta,0
volAvg,739259
mktCap,102116175
lastDiv,0.744
range,19.13-31.07
changes,0.34
companyName,First Trust Natural Gas ETF
currency,USD
cik,
isin,US33733E8075
cusip,33733E807
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts and MLP units that comprise the index. The index is designed to track the performance of mid and large capitalization companies that derive a substantial portion of their revenues from midstream activities and/or the exploration and production of natural gas."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCG.png
ipoDate,2007-05-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
