,HXCN.TO
symbol,HXCN.TO
price,32.19
beta,0
volAvg,4850
mktCap,0
lastDiv,0
range,27.55-33.44
changes,0.32
companyName,Horizons S&P/TSX Capped Composite Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HXCN.TO.png
ipoDate,2020-02-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
