,NULV
symbol,NULV
price,35.57
beta,0
volAvg,264473
mktCap,0
lastDiv,0.727
range,30.45-39.168
changes,0.44
companyName,Nuveen ESG Large-Cap Value ETF
currency,USD
cik,
isin,US67092P3001
cusip,67092P300
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in the securities of large-capitalization companies. The index is comprised of equity securities with value characteristics issued by large capitalization companies listed on U.S. exchanges that meet certain environmental, social, and governance (""ESG"") criteria."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NULV.png
ipoDate,2016-12-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
