,TPRF.TO
symbol,TPRF.TO
price,9.77
beta,0
volAvg,13069
mktCap,0
lastDiv,0.4569999999999999
range,9.0-11.85
changes,-0.02
companyName,TD Active Preferred Share ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TPRF.TO.png
ipoDate,2018-11-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
