,DTH
symbol,DTH
price,38.84
beta,0
volAvg,93434
mktCap,257788693
lastDiv,2.045
range,29.56-41.54
changes,0.18
companyName,WisdomTree International High Dividend Fund
currency,USD
cik,
isin,US97717W8029
cusip,97717W802
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of companies with high dividend yields selected from the WisdomTree International Equity Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DTH.png
ipoDate,2006-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
