,METV
symbol,METV
price,8.57
beta,0
volAvg,430877
mktCap,0
lastDiv,0.006
range,6.79-13.4
changes,0.13
companyName,Roundhill Ball Metaverse ETF
currency,USD
cik,
isin,
cusip,53656F417
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index seeks to track the performance of globally-listed equity securities of companies that engage in activities or provide products, services, technologies, or technological capabilities to enable the Metaverse, and benefit from its generated revenues. ""Metaverse"" is a term used to refer to a future iteration of the Internet. Under normal circumstances, at least 80% of the fund's net assets will be invested in Metaverse Companies, which may include investments in ADRs or SPACs. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/METV.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
