,EMB
symbol,EMB
price,88.97
beta,0
volAvg,7236018
mktCap,16508798100
lastDiv,3.9219999999999997
range,76.35-105.83
changes,1.3718
companyName,iShares J.P. Morgan USD Emerging Markets Bond ETF
currency,USD
cik,
isin,US4642882819
cusip,464288281
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index and will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The index is a broad, diverse U.S. dollar-denominated emerging markets debt benchmark that tracks the total return of actively traded external debt instruments in emerging market countries."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EMB.png
ipoDate,2007-12-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
