,SHYD
symbol,SHYD
price,22.5
beta,0
volAvg,278678
mktCap,0
lastDiv,0.5419999999999999
range,21.39-24.51
changes,0.05
companyName,VanEck Short High Yield Muni ETF
currency,USD
cik,
isin,US92189F3872
cusip,92189F387
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the benchmark index. The index is composed of publicly traded municipal bonds that cover the U.S. dollar denominated high yield short-term tax-exempt bond market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SHYD.png
ipoDate,2014-01-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
