,GNR
symbol,GNR
price,61.35
beta,0
volAvg,303413
mktCap,0
lastDiv,3.659
range,47.17-65.66
changes,0.64
companyName,SPDR S&P Global Natural Resources ETF
currency,USD
cik,
isin,US38379U7Q30
cusip,78463X541
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in depositary receipts based on securities comprising the index. The index is comprised of 90 of the largest U.S. and foreign publicly-traded companies, based on market capitalization, in natural resources and commodities businesses that meet certain investability requirements."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GNR.png
ipoDate,2010-09-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
