,IVOO
symbol,IVOO
price,178.9
beta,0
volAvg,34673
mktCap,0
lastDiv,2.578
range,147.86-187.58
changes,4.27
companyName,Vanguard S&P Mid-Cap 400 Index Fund
currency,USD
cik,
isin,US9219328856
cusip,921932885
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the S&P MidCap 400® Index. The index measures the performance of mid-size companies in the United States. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IVOO.png
ipoDate,2010-09-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
