,MORT
symbol,MORT
price,13.57
beta,0
volAvg,129739
mktCap,0
lastDiv,1.529
range,10.07-17.71
changes,0.33
companyName,VanEck Mortgage REIT Income ETF
currency,USD
cik,
isin,US92189F4524
cusip,92189F452
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The Mortgage REITs Index may include small-, medium- and large-capitalization companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MORT.png
ipoDate,2011-08-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
