,OILK
symbol,OILK
price,44.35
beta,0
volAvg,41940
mktCap,0
lastDiv,7.76
range,40.04-62.455
changes,0.76
companyName,ProShares K-1 Free Crude Oil Strategy ETF
currency,USD
cik,
isin,US74347G8042
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index seeks to track the performance of three separate contract schedules for West Texas Intermediate (“WTI”) Crude Oil futures traded on NYMEX. These contract schedules are equally-weighted in the index (1/3 each) at each semi-annual reset in March and September."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/OILK.png
ipoDate,2016-09-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
