,BIBL
symbol,BIBL
price,32.21
beta,0
volAvg,45355
mktCap,56783428
lastDiv,0.294
range,26.89-37.1
changes,0.53
companyName,Inspire 100 ESG ETF
currency,USD
cik,
isin,US66538H5349
cusip,66538H534
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests at least 80% of its total assets in the component securities of the Inspire 100 Index. The index provider selects domestic large capitalization equity securities using the index provider's Inspire Impact Score®, a proprietary selection methodology that is designed to assign a score to a particular security based on the security's alignment with biblical values and the positive impact that company has on the world through various environmental, social and governance criterion."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BIBL.png
ipoDate,2017-10-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
