,DFAS
symbol,DFAS
price,56.01
beta,0
volAvg,303647
mktCap,0
lastDiv,0.526
range,46.108-57.98
changes,1.33
companyName,Dimensional U.S. Small Cap ETF
currency,USD
cik,0001816125
isin,
cusip,25434V500
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, using a market capitalization weighted approach, is designed to generally purchase a broad and diverse group of securities of U.S. small cap companies. As a non-fundamental policy, normally, the fund will invest at least 80% of its net assets in securities of small cap U.S. companies. The fund may purchase or sell futures contracts and options on futures contracts for U.S. equity securities and indices, to increase or decrease equity market exposure based on actual or expected cash inflows to or outflows from the Portfolio."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DFAS.png
ipoDate,2021-06-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
