,DIVB
symbol,DIVB
price,39.48
beta,0
volAvg,64535
mktCap,6990763
lastDiv,0.759
range,33.34-42.8
changes,0.24
companyName,iShares U.S. Dividend and Buyback ETF
currency,USD
cik,
isin,US46435U8615
cusip,46435U861
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to provide exposure to U.S.-based companies that return capital to shareholders through either dividend payments or share buybacks.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DIVB.png
ipoDate,2017-11-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
