,CLF.TO
symbol,CLF.TO
price,16.8
beta,0
volAvg,21580
mktCap,0
lastDiv,0.3510000000000001
range,16.31-17.47
changes,0
companyName,iShares 1-5 Year Laddered Government Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CLF.TO.png
ipoDate,2008-02-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
