,TSLL
symbol,TSLL
price,10.1
beta,0
volAvg,9316563
mktCap,0
lastDiv,0.051
range,4.64-28.08
changes,0.55
companyName,Direxion Daily TSLA Bull 1.5X Shares
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets (plus any borrowings for investment purposes) in the securities of TSLA and financial instruments, such as swap agreements and options, that provide leveraged exposure to TSLA. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TSLL.png
ipoDate,2022-08-09
defaultImage,False
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
