,FDL
symbol,FDL
price,37.96
beta,0
volAvg,1250173
mktCap,1633983265
lastDiv,1.307
range,32.1-39.24
changes,0.5
companyName,First Trust Morningstar Dividend Leaders Index Fund
currency,USD
cik,
isin,US3369171091
cusip,336917109
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to measure the performance of the 100 highest-yielding stocks that have a consistent record of dividend payment and have the ability to sustain their dividend payments. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FDL.png
ipoDate,2006-03-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
