,XEG.TO
symbol,XEG.TO
price,16.22
beta,0
volAvg,1852487
mktCap,1109447919
lastDiv,0.518
range,12.34-18.67
changes,0.17
companyName,iShares S&P/TSX Capped Energy Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XEG.TO.png
ipoDate,2001-03-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
