,XHYC
symbol,XHYC
price,36.03
beta,0
volAvg,239
mktCap,0
lastDiv,1.5749999999999997
range,33.538-40.32
changes,0.37
companyName,BondBloxx US High Yield Consumer Cyclicals Sector ETF
currency,USD
cik,0001879238
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in high-yield, below-investment grade bonds denominated in U.S. dollars of issuers in the consumer cyclicals sector, either directly or indirectly (e.g., through derivatives). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XHYC.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
