,VAB.TO
symbol,VAB.TO
price,22.9
beta,0
volAvg,123038
mktCap,0
lastDiv,0.6380000000000001
range,21.34-25.1
changes,-0.0123
companyName,Vanguard Canadian Aggregate Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VAB.TO.png
ipoDate,2012-01-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
