,VPN
symbol,VPN
price,13.78
beta,0
volAvg,19072
mktCap,0
lastDiv,0.32
range,11.11-16.88
changes,0.17
companyName,Global X Data Center REITs & Digital Infrastructure ETF
currency,USD
cik,
isin,US37954Y2366
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets, plus borrowings for investments purposes, in the securities of the Solactive Data Center REITs & Digital Infrastructure Index and in ADRs and GDRs based on the securities in the index. The index is designed to provide exposure to companies that have business operations in the fields of data centers, cellular towers, and/or digital infrastructure hardware. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VPN.png
ipoDate,2020-10-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
