,IUSB
symbol,IUSB
price,46.43
beta,0
volAvg,3033670
mktCap,0
lastDiv,1.017
range,43.12-51.9
changes,0.21
companyName,iShares Core Total USD Bond Market ETF
currency,USD
cik,
isin,US46434V6130
cusip,46434V613
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will invest at least 80% of its assets in the component securities of the underlying index and to-be-announced transactions (“TBAs”) that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index. The index measures the performance of U.S. dollar-denominated taxable bonds that are rated either investment-grade or high yield.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IUSB.png
ipoDate,2014-06-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
