,TARK
symbol,TARK
price,66.5295
beta,0
volAvg,426541
mktCap,0
lastDiv,0
range,37.33-174.0
changes,4.7495
companyName,AXS 2X Innovation ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will enter into one or more swap agreements with major global financial institutions for a specified period ranging from a day to more than one year whereby the fund and the global financial institution will agree to exchange the return (or differentials in rates of return) earned or realized on the ARK Innovation ETF. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TARK.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
