,TMFM
symbol,TMFM
price,23.29
beta,0
volAvg,8465
mktCap,0
lastDiv,0
range,19.98-27.12
changes,0.4911
companyName,Motley Fool Mid-Cap Growth ETF
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund is an actively-managed ETF and pursues its investment objective by using a quality growth investing style. It invests in a focused portfolio of the common stocks of high-quality companies organized in the United States that are engaged in a broad range of industries. Under normal market conditions, the fund invests at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in securities issued by United States companies having mid-market capitalizations."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TMFM.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
