,IHAK
symbol,IHAK
price,34.15
beta,0
volAvg,109090
mktCap,0
lastDiv,0.08399999999999999
range,31.29-43.44
changes,0.51
companyName,iShares Cybersecurity and Tech ETF
currency,USD
cik,
isin,US46435U1354
cusip,46435U135
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index is composed of developed and emerging market companies that are involved in cyber security and technology, including cyber security hardware, software, products, and services. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IHAK.png
ipoDate,2019-06-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
