,RFG
symbol,RFG
price,190.7
beta,0
volAvg,4396
mktCap,0
lastDiv,1.395
range,158.11-215.78
changes,4.1034
companyName,Invesco S&P MidCap 400 Pure Growth ETF
currency,USD
cik,
isin,US46137V2170
cusip,46137V217
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of a subset of securities from the S&P MidCap 400® Index that exhibit strong growth characteristics.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RFG.png
ipoDate,2006-03-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
