,JMUB
symbol,JMUB
price,50.99
beta,0
volAvg,108719
mktCap,0
lastDiv,0.9679999999999997
range,47.63-53.58
changes,0.14
companyName,JPMorgan Municipal ETF
currency,USD
cik,
isin,US46641Q6474
cusip,46641Q647
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its assets in municipal securities, the income from which is exempt from federal income tax. The fund may invest in debt securities issued by governmental entities, certain issuers identified with the U.S. government and private issuers. It may invest in municipal mortgage-backed and asset-backed securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JMUB.png
ipoDate,2018-10-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
