,CNRG
symbol,CNRG
price,91.95
beta,0
volAvg,19131
mktCap,0
lastDiv,1.01
range,68.74-104.31
changes,3.05
companyName,SPDR Kensho Clean Power ETF
currency,USD
cik,
isin,US78468R6559
cusip,78468R655
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to capture companies whose products and services are driving innovation behind clean power. The fund may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments, such as repurchase agreements and money market funds. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CNRG.png
ipoDate,2018-10-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
