,XDU.TO
symbol,XDU.TO
price,26.42
beta,0
volAvg,5162
mktCap,0
lastDiv,0.6080000000000001
range,23.34-27.56
changes,0.15
companyName,iShares Core MSCI US Quality Dividend Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XDU.TO.png
ipoDate,2017-06-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
