,IYF
symbol,IYF
price,80.98
beta,0
volAvg,160885
mktCap,1105377000
lastDiv,1.402
range,66.04-91.06
changes,1.17
companyName,iShares U.S. Financials ETF
currency,USD
cik,
isin,US4642877884
cusip,464287788
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of U.S. companies in the financial sector of the U.S. equity market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYF.png
ipoDate,2000-05-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
