,DFNM
symbol,DFNM
price,48.63
beta,0
volAvg,195946
mktCap,0
lastDiv,0.6320000000000001
range,46.44-49.62
changes,0.07
companyName,Dimensional National Municipal Bond ETF
currency,USD
cik,0001816125
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the Portfolio will invest at least 80% of its net assets in municipal securities that pay interest exempt from federal income tax. The Portfolio will generally maintain a dollar-weighted average duration of no more than one half year greater, and no less than one year below, the average duration of the Portfolio’s benchmark, the S&P Intermediate Term National AMT-Free Municipal Bond Index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DFNM.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
