,NALT.TO
symbol,NALT.TO
price,23.69
beta,0
volAvg,24969
mktCap,0
lastDiv,0.225
range,22.35-25.9
changes,-0.02
companyName,NBI Liquid Alternatives ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NALT.TO.png
ipoDate,2019-02-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
