,GSY
symbol,GSY
price,49.65
beta,0
volAvg,566081
mktCap,0
lastDiv,0.9600000000000001
range,49.23-50.16
changes,0
companyName,Invesco Ultra Short Duration ETF
currency,USD
cik,
isin,US46090A8870
cusip,46090A887
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its net assets in fixed income securities and in ETFs and closed-end funds that invest substantially all of their assets in fixed income securities. It uses a low duration strategy to seek to outperform the ICE BofA US Treasury Bill Index in addition to providing returns in excess of those available in U.S. Treasury bills, government repurchase agreements, and money market funds, while seeking to provide preservation of capital and daily liquidity."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GSY.png
ipoDate,2008-02-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
