,PXJ
symbol,PXJ
price,5.56
beta,0
volAvg,381706
mktCap,14178000
lastDiv,0.034
range,3.25-5.57
changes,0.14
companyName,Invesco Dynamic Oil & Gas Services ETF
currency,USD
cik,
isin,US46137V6700
cusip,46137V670
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index was composed of common stocks of U.S. companies that assist in the production, processing and distribution of oil and gas. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PXJ.png
ipoDate,2005-10-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
