,AVDV
symbol,AVDV
price,59.94
beta,0
volAvg,271129
mktCap,8348238984
lastDiv,1.754
range,46.61-65.11
changes,0.56
companyName,Avantis International Small Cap Value ETF
currency,USD
cik,0001710607
isin,US0250728021
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in a diverse group of non-U.S. small cap value companies across market sectors, industry groups, and countries. Under normal market conditions, it will invest at least 80% of its assets in securities of small capitalization companies. The fund also may invest in derivative instruments such as futures contracts, currency forwards, and swap agreements."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AVDV.png
ipoDate,2019-09-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
