,KBWB
symbol,KBWB
price,58.42
beta,0
volAvg,746146
mktCap,0
lastDiv,1.5750000000000002
range,47.5-75.23
changes,0.48
companyName,Invesco KBW Bank ETF
currency,USD
cik,
isin,US46138E6288
cusip,46138E628
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is a modified-market capitalization-weighted index of companies primarily engaged in U.S. banking activities, as determined by the index provider. The underlying index is designed to track the performance of large national U.S. money centers, regional banks, and thrift institutions that are publicly traded in the U.S. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KBWB.png
ipoDate,2011-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
