,BSMS
symbol,BSMS
price,23.795
beta,0
volAvg,34660
mktCap,7897153296
lastDiv,0.3840000000000001
range,22.16-25.56
changes,0.015
companyName,Invesco BulletShares (R) 2028 Municipal Bond ETF
currency,USD
cik,
isin,US46138J4866
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment-grade municipal bonds with maturities or, in some cases, “effective maturities,” in the year 2028 (collectively, “2028 Bonds”). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSMS.png
ipoDate,2019-09-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
