,VTC
symbol,VTC
price,77.49
beta,0
volAvg,94768
mktCap,0
lastDiv,2.098
range,70.093-88.15
changes,0.54
companyName,Vanguard Total Corporate Bond ETF
currency,USD
cik,
isin,US92206C5739
cusip,92206C573
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund is a fund of funds and employs an indexing investment approach designed to track the performance of the Bloomberg U.S. Corporate Bond Index, which measures the investment-grade, fixed-rate, taxable corporate bond market. The index includes U.S. dollar-denominated securities that are publicly issued by industrial, utility, and financial issuers."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VTC.png
ipoDate,2017-11-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
