,CLDL
symbol,CLDL
price,7.08
beta,0
volAvg,34908
mktCap,0
lastDiv,1.019
range,5.35-17.5
changes,0.27
companyName,Direxion Daily Cloud Computing Bull 2X Shares
currency,USD
cik,0001424958
isin,US25460G6254
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is provided by Indxx, LLC and includes domestic companies that deliver cloud computing infrastructure, platforms, or services. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CLDL.png
ipoDate,2021-01-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
