,DIAL
symbol,DIAL
price,17.98
beta,0
volAvg,364649
mktCap,115994464
lastDiv,0.5279999999999999
range,16.285-20.69
changes,0.1
companyName,Columbia Diversified Fixed Income Allocation ETF
currency,USD
cik,0001551950
isin,US19761L5084
cusip,19761L508
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its assets in securities within the index or in securities, that the fund’s investment adviser determines have economic characteristics that are substantially the same as the economic characteristics of the securities within the index. The index reflects a rules-based multi-sector strategic beta approach to measuring the performance of the debt market through representation of six segments of the debt market in the index, each focused on yield, quality, and liquidity of the particular segment."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DIAL.png
ipoDate,2017-10-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
