,ARKX
symbol,ARKX
price,14
beta,0
volAvg,78063
mktCap,1300232374
lastDiv,0
range,11.77-18.58
changes,0.33
companyName,ARK Space Exploration & Innovation ETF
currency,USD
cik,0001579982
isin,US00214Q8078
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are engaged in its investment theme of Space Exploration and Innovation. Under normal circumstances, substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ARKX.png
ipoDate,2021-11-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
