,NAIL
symbol,NAIL
price,45.19
beta,0
volAvg,402814
mktCap,0
lastDiv,0.005
range,18.98-78.29
changes,5.42
companyName,Direxion Daily Homebuilders & Supplies Bull 3X Shares
currency,USD
cik,0001424958
isin,US25490K5965
cusip,25490K596
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index measures U.S. companies in the home construction sector that provide a wide range of products and services related to homebuilding, including home construction and producers, sellers and suppliers of building materials, furnishings and fixtures and etc. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NAIL.png
ipoDate,2015-08-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
