,XSUS.TO
symbol,XSUS.TO
price,29.08
beta,0
volAvg,4382
mktCap,0
lastDiv,0.277
range,25.4-31.51
changes,0.27
companyName,iShares ESG Aware MSCI USA Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XSUS.TO.png
ipoDate,2019-03-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
