,SILX
symbol,SILX
price,2.88
beta,0
volAvg,64740
mktCap,0
lastDiv,0
range,1.62-7.09
changes,0.04
companyName,ETFMG Prime 2x Daily Junior Silver Miners ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index tracks the performance of the equity securities of small-capitalization companies actively engaged in silver refining, mining, or exploration (“Junior Silver Companies”). The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SILX.png
ipoDate,2021-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
