,CLIX
symbol,CLIX
price,36.51
beta,0
volAvg,2367
mktCap,51406518
lastDiv,0.796
range,27.71-52.999
changes,0.6384
companyName,ProShares Long Online/Short Stores ETF
currency,USD
cik,
isin,US74347B3758
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index consists of long positions in the online retailers included in the ProShares Online Retail Index and short positions in the ""bricks and mortar"" retailers included in the Solactive-ProShares Bricks and Mortar Retail Store Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CLIX.png
ipoDate,2017-11-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
