,PFF
symbol,PFF
price,33.6
beta,0
volAvg,4523640
mktCap,14059919664
lastDiv,1.5979999999999999
range,29.79-37.7
changes,0.2
companyName,iShares Preferred and Income Securities ETF
currency,USD
cik,
isin,US4642886877
cusip,464288687
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund may invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PFF.png
ipoDate,2007-03-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
