,SEIX
symbol,SEIX
price,23.75
beta,0
volAvg,39403
mktCap,0
lastDiv,1.3409999999999997
range,22.97-26.2
changes,0.01
companyName,Virtus Seix Senior Loan ETF
currency,USD
cik,
isin,US92790A4058
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective by investing, under normal market circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in a combination of first- and second-lien senior floating rate loans. These loans are made by banks and other large financial institutions to various companies and are senior in the borrowing companies' capital structure. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SEIX.png
ipoDate,2019-04-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
