,SVR.TO
symbol,SVR.TO
price,11.71
beta,0
volAvg,10159
mktCap,0
lastDiv,0
range,8.75-13.55
changes,0.05
companyName,iShares Silver Bullion ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SVR.TO.png
ipoDate,2009-10-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
