,VUSE
symbol,VUSE
price,44.9
beta,0
volAvg,25478
mktCap,0
lastDiv,0.654
range,37.03-46.813
changes,0.83
companyName,Vident Core U.S. Equity Fund
currency,USD
cik,
isin,US26922A5039
cusip,26922A503
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index. The underlying index is a rules-based, systematic strategy index comprised of equity securities of issuers domiciled and traded in the United States."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VUSE.png
ipoDate,2014-01-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
