,ICOW
symbol,ICOW
price,29.347
beta,0
volAvg,80260
mktCap,0
lastDiv,1.4329999999999998
range,22.72-33.14
changes,0.2388
companyName,Pacer Developed Markets International Cash Cows 100 ETF
currency,USD
cik,
isin,US69374H8732
cusip,69374H873
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index uses an objective, rules-based methodology to provide exposure to large and mid-capitalization non-U.S. companies in developed markets with high free cash flow yields."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ICOW.png
ipoDate,2017-06-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
