,GDXD
symbol,GDXD
price,5.91
beta,0
volAvg,607632
mktCap,0
lastDiv,0
range,5.218-31.4
changes,-0.09
companyName,MicroSectors Gold Miners -3X Inverse Leveraged ETNs
currency,USD
cik,0000927971
isin,US0636796411
cusip,063679641
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GDXD.png
ipoDate,2020-12-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
