,FALN
symbol,FALN
price,25.55
beta,0
volAvg,1508578
mktCap,75998424
lastDiv,1.144
range,23.41-28.82
changes,0.2
companyName,iShares Fallen Angels USD Bond ETF
currency,USD
cik,
isin,US46435G4745
cusip,46435G474
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the Underlying Index, and the Fund will invest at least 90% of its assets in fixed income securities of the types included in the Underlying Index. The index is designed to reflect the performance of U.S. dollar denominated, high yield corporate bonds that were previously rated investment grade."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FALN.png
ipoDate,2016-06-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
